"months",residuals
"1",-0.509493759
"2",-0.308881533
"3",-0.310320842
"4",-0.71378712
"5",-0.919255929
"6",-0.526702966
"7",-0.336104057
"8",0.55256484
"9",1.239327634
"10",1.424208105
"11",1.507229899
"12",1.388416531
"13",1.067791385
"14",0.745377714
"15",0.421198638
"16",0.495277147
"17",0.667636098
"18",0.438298217
"19",0.207286099
"20",-0.325377793
"21",-0.659671127
"22",-1.095571705
"23",-0.933057457
"24",-0.772106447
"25",-1.212696869
"26",-0.95480705
"27",-0.498415448
"28",-0.443500652
"29",-0.590041383
"30",-0.438016494
"31",-0.287404968
"32",-0.338185921
"33",-0.390338601
"34",-0.143842386
"35",-0.298676787
"36",-0.354821445
"37",0.087743867
"38",0.029039242
"39",-0.030915354
"40",0.10789991
"41",0.145504734
"42",-0.018081313
"43",-0.182838793
"44",-0.148748401
"45",-0.215790963
"46",-0.083947436
"47",-0.153198908
"48",-0.123526601
"49",-0.294911865
"50",-0.267336186
"51",-0.240781177
"52",-0.315228586
"53",-0.390660291
"54",-0.167058301
"55",0.155595242
"56",0.277318066
"57",0.398127765
"58",0.018041805
"59",0.137077517
"60",0.155252103
"61",0.272582631
"62",0.38908604
"63",0.404779136
"64",0.619678594
"65",0.733800957
"66",0.547162636
"67",0.359779912
"68",0.171668934
"69",0.082845717
"70",0.393326148
"71",0.20312598
"72",0.112260836
"73",0.320746207
"74",0.328597451
"75",0.435829797
"76",0.542458341
"77",0.548498047
"78",0.453963748
"79",0.658870145
"80",0.563231809
"81",0.667063179
"82",0.670378559
"83",0.973192127
"84",0.975517926
"85",0.677369867
"86",0.678761732
"87",0.47970717
"88",0.180219698
"89",-0.119687299
"90",-0.020000564
"91",-0.120706977
"92",-0.121793545
"93",-0.123247408
"94",-0.225055839
"95",-0.527206241
"96",-0.629686149
"97",-0.732483228
"98",-0.935585278
"99",-0.938980227
"100",-0.942656138
"101",-0.646601201
"102",-0.650803743
"103",-0.655252217
"104",-0.759935213
"105",-0.864841448
"106",-0.869959773
"107",-0.87527917
"108",-0.780788753
"109",-0.686477766
"110",-0.792335586
"111",-0.698351722
"112",-0.104515813
"113",-0.31081763
"114",-0.417247076
"115",-0.323794185
"116",-0.130449125
"117",0.162797809
"118",0.155956187
"119",0.149035449
"120",0.242044902
"121",0.234993722
"122",0.727890955
"123",1.320745513
"124",0.613566179
"125",0.706361603
"126",1.199140302
"127",1.191910664
"128",0.884680945
"129",0.977459268
"130",0.870253626
"131",0.863071879
"132",0.855921758
"133",1.148810858
"134",0.941746648
"135",0.33473646
"136",0.727787499
"137",1.020906836
"138",0.614101411
"139",0.107378031
"140",0.100743375
"141",-0.005796013
"142",-0.512233719
"143",-0.718563461
"144",-1.024779088
"145",-1.530874581
"146",-1.536844052
"147",-1.142681746
"148",-1.048382038
"149",-1.453939435
"150",-1.559348576
"151",-1.164604231
"152",-0.869701301
"153",-1.174634821
"154",-0.679399955
"155",-0.483992
"156",-0.288406383
"157",-0.092638663
"158",0.303315467
"159",0.299460186
"160",-0.504200462
"161",-0.60766256
"162",-0.610922328
"163",-0.613976113
"164",-0.516820396
"165",-0.41945179
"166",-0.721867036
"167",-0.924063011
"168",-0.826036721
"169",-0.827785305
"170",-1.029306031
"171",-1.030596302
"172",-0.431653649
"173",0.367524262
"174",0.566939637
"175",0.266594546
"176",-0.033509068
"177",-0.233369396
"178",0.46701524
"179",0.767646385
"180",0.568525456
"181",0.269653735
"182",0.271032373
"183",0.372662392
"184",0.774544679
"185",0.076679992
"186",-0.220931044
"187",0.481712064
"188",0.884609681
"189",1.987762035
"190",1.591169228
"191",0.794831225
"192",0.698747864
"193",1.302918849
"194",0.907343754
"195",0.712022019
"196",0.816952954
"197",1.522135739
"198",1.62756942
"199",1.433252912
"200",1.139185
"201",-0.554635666
"202",-1.348210563
"203",-0.641541303
"204",-0.134629628
"205",-0.527477413
"206",-0.220086663
"207",0.187540486
"208",-0.004598236
"209",0.103494772
"210",0.111816976
"211",-0.179634284
"212",-0.570861806
"213",0.238131486
"214",0.947342533
"215",1.756768145
"216",1.566405002
"217",1.776249651
"218",1.486298507
"219",1.496547856
"220",1.40699385
"221",1.717632509
"222",2.528459725
"223",3.139471254
"224",2.950662724
"225",2.462029628
"226",1.273567332
"227",-1.314728933
"228",-2.302864068
"229",-2.390843103
"230",-2.1786712
"231",-2.766353655
"232",-3.053895894
"233",-3.641303472
"234",-3.72858208
"235",-4.415737538
"236",-3.802775799
"237",-3.589702945
"238",-2.476525191
"239",-0.463248886
"240",0.450119494
"241",0.363573338
"242",-0.122894095
"243",0.090710322
"244",0.004379584
"245",-0.181893444
"246",-1.06811603
"247",-0.954295573
"248",-1.040439605
"249",-1.026555786
"250",-0.912651911
"251",-0.998735906
"252",-0.584815827
"253",-0.470899862
"254",0.043003668
"255",0.656886312
"256",1.170739487
"257",1.584554478
"258",1.598322439
"259",1.612034392
"260",1.825681228
"261",1.939253706
"262",1.552742454
"263",1.466137967
"264",1.079430611
"265",0.992610618
"266",1.005668089
"267",0.818592995
"268",0.431375174
"269",-0.155995668
"270",-0.143529956
"271",-0.431238245
"272",-0.119131224
"273",0.192780288
"274",0.40448534
"275",0.015972849
"276",-0.072768398
"277",-0.161749748
"278",0.249017322
"279",-0.240478796
"280",-0.630249843
"281",-0.320307691
"282",0.089335657
"283",0.298668066
"284",-0.19232273
"285",-0.48364913
"286",-0.675323663
"287",-0.467358991
"288",-0.159767906
"289",-0.052563333
"290",-0.545758326
"291",-0.139366075
"292",0.366600103
"293",0.472126757
"294",0.477200304
"295",0.381807032
"296",0.085933095
"297",0.089564517
"298",0.092687188
"299",-0.30471313
"300",-0.802650809
