months,inflation
1,5.2
2,5.3
3,5.2
4,4.7
5,4.4
6,4.7
7,4.8
8,5.6
9,6.2
10,6.3
11,6.3
12,6.1
13,5.7
14,5.3
15,4.9
16,4.9
17,5
18,4.7
19,4.4
20,3.8
21,3.4
22,2.9
23,3
24,3.1
25,2.6
26,2.8
27,3.2
28,3.2
29,3
30,3.1
31,3.2
32,3.1
33,3
34,3.2
35,3
36,2.9
37,3.3
38,3.2
39,3.1
40,3.2
41,3.2
42,3
43,2.8
44,2.8
45,2.7
46,2.8
47,2.7
48,2.7
49,2.5
50,2.5
51,2.5
52,2.4
53,2.3
54,2.5
55,2.8
56,2.9
57,3
58,2.6
59,2.7
60,2.7
61,2.8
62,2.9
63,2.9
64,3.1
65,3.2
66,3
67,2.8
68,2.6
69,2.5
70,2.8
71,2.6
72,2.5
73,2.7
74,2.7
75,2.8
76,2.9
77,2.9
78,2.8
79,3
80,2.9
81,3
82,3
83,3.3
84,3.3
85,3
86,3
87,2.8
88,2.5
89,2.2
90,2.3
91,2.2
92,2.2
93,2.2
94,2.1
95,1.8
96,1.7
97,1.6
98,1.4
99,1.4
100,1.4
101,1.7
102,1.7
103,1.7
104,1.6
105,1.5
106,1.5
107,1.5
108,1.6
109,1.7
110,1.6
111,1.7
112,2.3
113,2.1
114,2
115,2.1
116,2.3
117,2.6
118,2.6
119,2.6
120,2.7
121,2.7
122,3.2
123,3.8
124,3.1
125,3.2
126,3.7
127,3.7
128,3.4
129,3.5
130,3.4
131,3.4
132,3.4
133,3.7
134,3.5
135,2.9
136,3.3
137,3.6
138,3.2
139,2.7
140,2.7
141,2.6
142,2.1
143,1.9
144,1.6
145,1.1
146,1.1
147,1.5
148,1.6
149,1.2
150,1.1
151,1.5
152,1.8
153,1.5
154,2
155,2.2
156,2.4
157,2.6
158,3
159,3
160,2.2
161,2.1
162,2.1
163,2.1
164,2.2
165,2.3
166,2
167,1.8
168,1.9
169,1.9
170,1.7
171,1.7
172,2.3
173,3.1
174,3.3
175,3
176,2.7
177,2.5
178,3.2
179,3.5
180,3.3
181,3
182,3
183,3.1
184,3.5
185,2.8
186,2.5
187,3.2
188,3.6
189,4.7
190,4.3
191,3.5
192,3.4
193,4
194,3.6
195,3.4
196,3.5
197,4.2
198,4.3
199,4.1
200,3.8
201,2.1
202,1.3
203,2
204,2.5
205,2.1
206,2.4
207,2.8
208,2.6
209,2.7
210,2.7
211,2.4
212,2
213,2.8
214,3.5
215,4.3
216,4.1
217,4.3
218,4
219,4
220,3.9
221,4.2
222,5
223,5.6
224,5.4
225,4.9
226,3.7
227,1.1
228,0.1
229,0
230,0.2
231,-0.4
232,-0.7
233,-1.3
234,-1.4
235,-2.1
236,-1.5
237,-1.3
238,-0.2
239,1.8
240,2.7
241,2.6
242,2.1
243,2.3
244,2.2
245,2
246,1.1
247,1.2
248,1.1
249,1.1
250,1.2
251,1.1
252,1.5
253,1.6
254,2.1
255,2.7
256,3.2
257,3.6
258,3.6
259,3.6
260,3.8
261,3.9
262,3.5
263,3.4
264,3
265,2.9
266,2.9
267,2.7
268,2.3
269,1.7
270,1.7
271,1.4
272,1.7
273,2
274,2.2
275,1.8
276,1.7
277,1.6
278,2
279,1.5
280,1.1
281,1.4
282,1.8
283,2
284,1.5
285,1.2
286,1
287,1.2
288,1.5
289,1.6
290,1.1
291,1.5
292,2
293,2.1
294,2.1
295,2
296,1.7
297,1.7
298,1.7
299,1.3
300,0.8
